n,McCreight
10000,0.04513659991789609
20000,0.13375039992388338
30000,0.20568909996654838
40000,0.3410245000850409
50000,0.3645276000024751
60000,0.48738119995687157
70000,0.5560368000296876
80000,0.7492174999788404
90000,0.6746283000102267
100000,0.8573105999967083
110000,0.8202042999910191
120000,1.096622799988836
130000,1.11869969998952
140000,0.9197610999690369
150000,0.9132782999658957
160000,0.8629783999640495
170000,1.1450275999959558
180000,0.9829130999278277
190000,1.246378600015305
200000,1.200212400057353
210000,1.1289745999965817
220000,1.3028087000129744
230000,1.6869884999468923
240000,1.31593449995853
250000,1.7677779999794438
260000,1.4635250999126583
270000,1.5077638000948355
280000,1.8461993000237271
290000,2.150016500032507
300000,1.7757730999728665
310000,2.2691881000064313
320000,1.9271251000463963
330000,2.2387124999659136
340000,2.0142425999511033
350000,2.564031699905172
360000,2.31671909999568
370000,2.532990499981679
380000,2.4425846999511123
390000,2.6636816000100225
400000,2.7814164999872446
410000,2.410336499917321
420000,2.719441800029017
430000,2.580637800041586
440000,2.983269999967888
450000,2.6320429000770673
460000,2.8026397000066936
470000,3.085118900053203
480000,3.0206052999710664
490000,2.67715230002068
500000,3.1702942000702024
510000,3.8012379999272525
520000,3.0748722999123856
530000,3.6525131999514997
540000,3.049495300045237
550000,3.1128077000612393
560000,3.9730118999723345
570000,3.1923318000044674
580000,3.289500299957581
590000,3.515479600057006
600000,4.152236100053415
610000,3.718444300000556
620000,3.592463699984364
630000,4.024049300001934
640000,4.2317225999431685
650000,4.139268500031903
660000,4.258657699916512
670000,3.8253780000377446
680000,3.874827199964784
690000,4.127956399926916
700000,4.240521400002763
710000,4.566398399998434
720000,4.6319164000451565
730000,4.511716800043359
740000,4.749728000024334
750000,4.737973300041631
760000,5.304633800056763
770000,4.412039599963464
780000,5.16353669995442
790000,4.557833100087009
800000,5.139558900031261
810000,4.705795699963346
820000,5.175727499998175
830000,5.237113800016232
840000,6.079527600086294
850000,5.172662000055425
860000,5.16501330002211
870000,5.711521100020036
880000,5.4104088000021875
890000,5.458212699973956
900000,4.8801356999902055
910000,5.808144300011918
920000,5.866729100001976
930000,6.082416399964131
940000,6.4845206999452785
950000,5.616736599942669
960000,6.214723099954426
970000,6.452437400002964
980000,6.676052200025879
990000,5.684211399988271
1000000,6.5597029000055045
