n,Naive,McCreight
1000,0.042644299915991724,0.002853000070899725
2000,0.17161309998482466,0.004534200066700578
3000,0.9035334000363946,0.007028999971225858
4000,0.6796364000765607,0.03519540000706911
5000,1.0779846999794245,0.011596699943765998
6000,1.5418407000834122,0.013507899944670498
7000,2.0596329999389127,0.015802200068719685
8000,2.801396399969235,0.01854990003630519
9000,3.5345740999327973,0.049322000006213784
10000,4.433513300027698,0.022906400030478835
11000,5.2521830999758095,0.05992829997558147
12000,6.265883199987002,0.06613819999620318
13000,7.322078700060956,0.07295639999210835
14000,8.302063400042243,0.0770752999233082
15000,9.592663999996148,0.08195669995620847
16000,10.96314240002539,0.08181280002463609
17000,12.485984300030395,0.09106559993233532
18000,14.072089200024493,0.12241660000290722
19000,15.850040200049989,0.1291512999450788
20000,16.89263060002122,0.13437270000576973
21000,19.110664899926633,0.13836230000015348
22000,20.795470100012608,0.13914689992088825
23000,22.92706499993801,0.119397500064224
24000,24.562222699983977,0.15142659994307905
25000,27.054404100053944,0.16165210003964603
26000,29.370133099961095,0.13361980009358376
27000,31.647663799929433,0.207474899943918
28000,33.89357509999536,0.17013440001755953
29000,35.67815470008645,0.1734536999138072
30000,39.02158960001543,0.15336539992131293
31000,40.916467399918474,0.20693179999943823
32000,43.25995590002276,0.23937650001607835
33000,47.117472599959,0.21274860005360097
34000,49.76558580005076,0.2172591999405995
35000,53.15812579996418,0.2181422000285238
36000,55.59088120004162,0.26549909997265786
37000,58.50018249999266,0.18799270002637058
38000,62.315390400006436,0.24073079996742308
39000,65.58095100009814,0.24346729996614158
40000,69.16672739991918,0.2054397000465542
41000,71.83781850000378,0.25238960003480315
42000,75.32905759999994,0.2650477000279352
43000,79.76952870003879,0.2673670999938622
44000,82.14850720006507,0.3147177000064403
45000,87.28070900007151,0.26703620003536344
46000,91.05106819991488,0.2852179000619799
47000,94.80001460004132,0.28460819995962083
48000,98.51961990003474,0.301900300080888
49000,102.79689549992327,0.301716799964197
50000,106.1390640999889,0.3492734000319615
51000,110.91170980001334,0.3568115000380203
52000,115.61505699995905,0.313837599940598
53000,121.49882729991805,0.3622789999935776
54000,125.07494469999801,0.3660140000283718
55000,129.65658149996307,0.37669579999055713
56000,134.8028031999711,0.3983549999538809
57000,139.59324570000172,0.34529299999121577
58000,141.49658570007887,0.41346189996693283
59000,150.50437809992582,0.36431229999288917
60000,154.7755721999565,0.3568987000035122
61000,158.98931299999822,0.3606650000438094
62000,163.05439010006376,0.38391249999403954
63000,170.29575230006594,0.4567841999232769
64000,175.0589067999972,0.4014557999325916
65000,181.20756440004334,0.39635749999433756
66000,185.45666559995152,0.4552899000700563
67000,192.27066789998207,0.47023890004493296
68000,198.44517419999465,0.41686230001505464
69000,202.5071749999188,0.39989060000516474
70000,211.0468189000385,0.48727589996997267
71000,214.8974331000354,0.4164127999683842
72000,221.1451808999991,0.42775830009486526
73000,227.42579359991942,0.477915900060907
74000,233.04859540006146,0.43827379995491356
75000,241.6857906000223,0.462945600040257
76000,246.64292050001677,0.4494427000172436
77000,254.0494964000536,0.45469299994874746
78000,262.5506244999124,0.4821644000476226
79000,267.1158731000032,0.460756600019522
80000,295.61854439997114,0.585003099986352
81000,313.6558781999629,0.49033619998954237
82000,334.7746584000997,0.5155407000565901
83000,340.35526009998284,0.7458679000847042
84000,347.81865270005073,0.5943052999209613
85000,342.4221768999705,0.585168799967505
86000,344.0182884999085,0.5724726000335068
87000,362.72291070001666,0.6642813000362366
88000,384.4251183999004,0.5541354999877512
89000,394.0140828000149,0.6317349000601098
90000,394.7628985999618,0.8162842000601813
91000,377.1629560000729,0.9149386999197304
92000,386.7130372999236,0.8466324000619352
93000,394.2933287000051,0.6280547000933439
94000,382.6270177999977,0.5772586000384763
95000,386.6444986000424,0.5517597999423742
96000,394.0126792000374,0.5499919999856502
97000,401.9136806000024,0.6424518000567332
98000,410.9909061000217,0.645164699992165
99000,419.548042899929,0.6321469000540674
100000,427.05921590002254,0.6978518000105396
