n,Naive,McCreight
10000,4.247767199994996,0.046038700034841895
20000,17.14102479990106,0.1020444999448955
30000,38.85717360000126,0.2059235000051558
40000,69.26021229999606,0.271502900053747
50000,106.59929639997426,0.3229445000179112
60000,154.34971450001467,0.41189560003113
70000,212.58600779995322,0.4645421999739483
80000,275.1474894999992,0.5142989999148995
90000,348.4938166999491,0.5383366999449208
100000,426.09263580001425,0.6295376000925899
