n,McCreight
1000,0.006903799949213862
2000,0.0069703999906778336
3000,0.009773800033144653
4000,0.011778200045228004
5000,0.013214799924753606
6000,44.81564329995308
7000,0.01976180006749928
8000,0.07402479997836053
9000,0.024684599949978292
10000,0.08532189996913075
11000,0.07735269994009286
12000,0.09144180000294
13000,0.07456209999509156
14000,0.07907069998327643
15000,0.08861550001893193
16000,0.08634989999700338
17000,0.0895308000035584
18000,0.13215419999323785
19000,0.10015499999281019
20000,0.14378689997829497
21000,0.1150653000222519
22000,0.1470176000148058
23000,0.1654726000269875
24000,0.13357910001650453
25000,0.1614404000574723
26000,0.16713089996483177
27000,0.17925469996407628
28000,0.1856398000381887
29000,0.19447590003255755
30000,0.1909046999644488
31000,0.24945650005247444
32000,0.2301732999039814
33000,0.24107630003709346
34000,0.1782905999571085
35000,0.2630998999811709
36000,0.2521232001017779
37000,0.24582260008901358
38000,0.24500460003037006
39000,0.2514503999846056
40000,0.3010869000572711
41000,0.2665174000430852
42000,0.26962919998914003
43000,0.3388897000113502
44000,0.29572229995392263
45000,0.2877111000707373
46000,0.34632809995673597
47000,0.31400529993698
48000,0.30001899995841086
49000,0.37065289996098727
50000,0.33266870002262294
51000,0.3181701999856159
52000,0.4037349000573158
53000,0.352875699987635
54000,0.35451500001363456
55000,0.3671043999493122
56000,0.360625599976629
57000,0.3647385999793187
58000,0.42135509999934584
59000,0.3761164000025019
60000,0.4457757999189198
61000,0.40342900005634874
62000,0.47751290001906455
63000,0.41539349989034235
64000,0.3972481999080628
65000,0.48796699999365956
66000,0.43159880000166595
67000,0.4389256000285968
68000,0.5122176000149921
69000,0.4581109000137076
70000,0.5315193999558687
71000,0.4751226999796927
72000,0.5597457999829203
73000,0.48782899999059737
74000,0.46925220009870827
75000,0.5675714999670163
76000,0.512645100010559
77000,0.511803500005044
78000,0.5919557999586686
79000,0.5370696999598294
80000,0.5233179000206292
81000,0.5236891000531614
82000,0.5896328999660909
83000,0.6177142999367788
84000,0.5489369001006708
85000,0.6348739999812096
86000,0.5611542999977246
87000,0.5602823999943212
88000,0.6493031999561936
89000,0.5577467000111938
90000,0.6514454000862315
91000,0.68774979992304
92000,0.5685694999992847
93000,0.7191955000162125
94000,0.6335520999273285
95000,0.6068440000526607
96000,0.7004606000846252
97000,0.6089860999491066
98000,0.6792674000607803
99000,0.7030109000625089
100000,0.604542399989441
101000,0.6994330999441445
102000,0.626188600086607
103000,0.7202574000693858
104000,0.6115051000379026
105000,0.7292245000135154
106000,0.7734260000288486
107000,0.6928752000676468
108000,0.6506780999479815
109000,0.7658250000094995
110000,0.6686640999978408
111000,0.7671674999874085
112000,0.7810161999659613
113000,0.833533399971202
114000,0.722896600025706
115000,0.6951663000509143
116000,0.867409799946472
117000,0.7452216999372467
118000,0.7038073999574408
119000,0.8286353000439703
120000,0.8747633000602946
121000,0.7808326000813395
122000,0.7408455000258982
123000,0.883142700069584
124000,0.8579219999955967
125000,0.8988433999475092
126000,0.7759250999661162
127000,0.930345100001432
128000,0.8043971000006422
129000,0.7757511000381783
130000,0.8973905999446288
131000,0.9104451999301091
132000,0.981563700013794
133000,0.8262110999785364
134000,0.969712599995546
135000,0.8523257999913767
136000,0.9708960999269038
137000,0.8931951000122353
138000,1.0221219999948516
139000,0.9352768999524415
140000,0.8765086000785232
141000,1.060229399939999
142000,0.8997452999465168
143000,1.0340978000313044
144000,0.8790311000775546
145000,1.0373603999614716
146000,1.0899634000379592
147000,0.9286311999894679
148000,1.0371932999696583
149000,1.0732253999449313
150000,0.9492391999810934
151000,1.0774991000071168
152000,0.9346551999915391
153000,1.0657671000808477
154000,1.1198185998946428
155000,1.2475477999541909
156000,1.0621107999468222
157000,1.1490536000346765
158000,0.9712747000157833
159000,1.1505439000902697
160000,0.9980578001122922
161000,1.185959600028582
162000,1.00220939994324
163000,1.1448279999895021
164000,1.1622208000626415
165000,0.9870747000677511
166000,1.1642128999810666
167000,1.0551146999932826
168000,1.0000304999994114
169000,1.117621700046584
170000,1.1787379001034424
171000,1.2344247999135405
172000,1.068901599966921
173000,1.1914945000316948
174000,1.019842499983497
175000,1.1601384999230504
176000,1.1669653999852017
177000,1.2168563000159338
178000,1.2764515000162646
179000,1.1147407999960706
180000,1.2200296999653801
181000,1.3199248000746593
182000,1.1051470000529662
183000,1.2786659999983385
184000,1.35561540001072
185000,1.201541000045836
186000,1.0933759999461472
187000,1.3074322999455035
188000,1.1309078000485897
189000,1.274229499977082
190000,1.3336763000115752
191000,1.3971890999237075
192000,1.4317305000731722
193000,1.2334180999314412
194000,1.3748708999482915
195000,1.4858445000136271
196000,1.3188815999310464
197000,1.2931951000355184
198000,1.5190046000061557
199000,1.2681630000006407
200000,1.468259899993427
201000,1.3000258000101894
202000,1.2410200000740588
