n,Naive,McCreight
10000,0.052618600020650774,0.07212189998244867
11000,0.05627439997624606,0.08529040002031252
12000,0.1014759999816306,0.12396699999226257
13000,0.06974020000780001,0.1399199000443332
14000,0.1244295000215061,0.13469920004718006
15000,0.14417280000634491,0.0782813000259921
16000,0.19642579997889698,0.1363918000133708
17000,0.16464680002536625,0.14340729999821633
18000,0.1630569999688305,0.15270540001802146
19000,0.24430600000778213,0.20620299997972324
20000,0.19982499995967373,0.19344409997574985
21000,0.21094129997072741,0.24125089996960014
22000,0.2189127000165172,0.20959410001523793
23000,0.2204506999696605,0.2561318000080064
24000,0.23822550004115328,0.27704489999450743
25000,0.24879749998217449,0.29705710004782304
26000,0.2627557000378147,0.30627659999299794
27000,0.2770154000027105,0.318301799998153
28000,0.2793229999952018,0.30986629996914417
29000,0.3548710000468418,0.3578667000401765
30000,0.3131203000084497,0.3460499999928288
31000,0.3846439000335522,0.3789610000094399
32000,0.3346183999674395,0.36721830000169575
33000,0.40588580002076924,0.4125804000068456
34000,0.4249351999606006,0.4204702000133693
35000,0.45006760000251234,0.36184859997592866
36000,0.44206020003184676,0.41686310002114624
37000,0.45072490000166,0.41683120001107454
38000,0.5493138000019826,0.4025248999823816
39000,0.5997465000255033,0.4148898999555968
40000,0.6041043999721296,0.5092157999752089
41000,0.4356168999802321,0.5732992999837734
42000,0.5503616000059992,0.5319550999556668
43000,0.5602028999710456,0.533694900048431
44000,0.5591333999764174,0.5291664999676868
45000,0.6684195999987423,0.4755144999944605
46000,0.6736522000283003,0.5874452000134625
47000,0.6168510999996215,0.5770862000063062
48000,0.6046579999965616,0.6641394000034779
49000,0.6376191999879666,0.6061625000438653
50000,0.6602110999519937,0.7300792000023648
51000,0.6743932999670506,0.6255566999898292
52000,0.7739250000449829,0.6795127000077628
53000,0.7523366999812424,0.7112524999538437
54000,0.7569388999836519,0.7113073000218719
55000,0.7459204000188038,0.6812051999731921
56000,0.8619674000074156,0.7074136000010185
57000,0.7389569999650121,0.979185999953188
58000,0.8743041999987327,0.8374806999927387
59000,1.0688886999851093,0.8685050000203773
60000,1.1546709000249393,0.8227730000508018
61000,1.1445270999683999,0.9838232999900356
62000,1.001101799949538,0.722335500002373
63000,1.0813206000020728,0.8775218999944627
64000,1.0169714000076056,0.8779964999994263
65000,1.0270180000225082,0.8875548000214621
66000,0.9291956000379287,1.0391900999820791
67000,1.0528477000189014,1.078589099983219
68000,1.043356899986975,0.9748652999987826
69000,0.9791281999787316,0.9387452999944799
70000,0.9698556999792345,1.1649728000047617
71000,1.0315536999842152,1.0133521999814548
72000,1.0352503000176512,1.0140684000216424
73000,1.1068096000235528,1.0806526999804191
74000,1.1923055999795906,0.9753907999838702
75000,1.2393750000046566,1.2629258999950252
76000,1.1380254999967292,1.1257073000306264
77000,1.0805540999863297,1.0066440000082366
78000,1.203728599997703,1.430476000008639
79000,1.218415500014089,1.1254786999779753
80000,1.3847355000325479,1.1775022000074387
81000,1.1774165999959223,1.229887499997858
82000,1.2031634000013582,1.1282100999960676
83000,1.2016392000368796,1.2621599999838509
84000,1.4229540000087582,1.1732664000010118
85000,1.197404499980621,1.1537306999671273
86000,1.336251300002914,1.3472369000082836
87000,1.2622005000011995,1.1728978999890387
88000,1.522903300006874,1.2622908999910578
89000,1.2204324000049382,1.3089452999993227
90000,1.5184006999479607,1.3536345000029542
91000,1.3778082999633625,1.4213972000288777
92000,1.3558840000187047,1.4890912000555545
93000,1.4090029000071809,1.4926443999866024
94000,1.6295288000255823,1.3703469000174664
95000,1.390253199962899,1.472332599980291
96000,1.7106736999703571,1.3923065999988467
97000,1.4065299999783747,1.375893599994015
98000,1.5867949999519624,1.3060424999566749
99000,1.5975464000366628,1.3847804000251926
