m,n=100000,n=1000000,n=10000000
2160,9.999494068324566e-07,2.00001522898674e-07,3.00002284348011e-07
2170,1.400010660290718e-06,2.00001522898674e-07,2.00001522898674e-07
2180,1.500011421740055e-06,3.00002284348011e-07,2.00001522898674e-07
2190,1.0999501682817936e-06,3.00002284348011e-07,3.00002284348011e-07
2200,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
2210,1.0999501682817936e-06,3.00002284348011e-07,2.00001522898674e-07
2220,1.00000761449337e-06,2.9994407668709755e-07,2.00001522898674e-07
2230,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
2240,1.0999501682817936e-06,2.00001522898674e-07,3.00002284348011e-07
2250,1.1999509297311306e-06,3.00002284348011e-07,2.00001522898674e-07
2260,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
2270,1.1999509297311306e-06,2.00001522898674e-07,2.00001522898674e-07
2280,1.400010660290718e-06,2.00001522898674e-07,3.00002284348011e-07
2290,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2300,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
2310,2.00001522898674e-06,3.00002284348011e-07,2.00001522898674e-07
2320,1.9000144675374031e-06,3.00002284348011e-07,3.00002284348011e-07
2330,1.100008375942707e-06,2.00001522898674e-07,3.00002284348011e-07
2340,1.400010660290718e-06,2.9994407668709755e-07,3.00002284348011e-07
2350,1.9000144675374031e-06,3.00002284348011e-07,2.00001522898674e-07
2360,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2370,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2380,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2390,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2400,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2410,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2420,1.300009898841381e-06,3.00002284348011e-07,2.00001522898674e-07
2430,2.200016751885414e-06,3.00002284348011e-07,3.00002284348011e-07
2440,1.700012944638729e-06,3.00002284348011e-07,3.00002284348011e-07
2450,2.100015990436077e-06,3.00002284348011e-07,2.00001522898674e-07
2460,1.300009898841381e-06,3.00002284348011e-07,2.9994407668709755e-07
2470,1.300009898841381e-06,3.00002284348011e-07,3.00002284348011e-07
2480,1.100008375942707e-06,1.9994331523776054e-07,3.00002284348011e-07
2490,1.200009137392044e-06,2.00001522898674e-07,3.00002284348011e-07
2500,1.200009137392044e-06,3.00002284348011e-07,1.9994331523776054e-07
2510,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
2520,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
2530,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2540,1.100008375942707e-06,2.00001522898674e-07,3.00002284348011e-07
2550,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
2560,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
2570,1.200009137392044e-06,3.00002284348011e-07,2.00001522898674e-07
2580,1.7999554984271526e-06,3.00002284348011e-07,2.00001522898674e-07
2590,4.700035788118839e-06,9.00006853044033e-07,4.00003045797348e-07
2600,5.099980626255274e-06,3.00002284348011e-07,2.00001522898674e-07
2610,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2620,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
2630,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
2640,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
2650,9.999494068324566e-07,2.00001522898674e-07,2.00001522898674e-07
2660,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2670,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
2680,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2690,1.9999570213258266e-06,3.00002284348011e-07,2.00001522898674e-07
2700,1.4999532140791416e-06,3.00002284348011e-07,2.00001522898674e-07
2710,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2720,1.00000761449337e-06,3.00002284348011e-07,1.9994331523776054e-07
2730,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2740,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2750,1.0999501682817936e-06,3.00002284348011e-07,3.00002284348011e-07
2760,1.00000761449337e-06,2.9994407668709755e-07,2.00001522898674e-07
2770,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2780,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
2790,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
2800,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
2810,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
2820,9.999494068324566e-07,3.00002284348011e-07,2.00001522898674e-07
2830,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2840,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
2850,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2860,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2870,1.500011421740055e-06,3.00002284348011e-07,3.00002284348011e-07
2880,2.1999585442245007e-06,3.00002284348011e-07,2.00001522898674e-07
2890,3.00002284348011e-06,3.00002284348011e-07,2.00001522898674e-07
2900,1.200009137392044e-06,2.00001522898674e-07,3.00002284348011e-07
2910,1.300009898841381e-06,3.00002284348011e-07,2.00001522898674e-07
2920,2.700020559132099e-06,3.00002284348011e-07,2.00001522898674e-07
2930,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
2940,3.8000289350748062e-06,4.00003045797348e-07,4.00003045797348e-07
2950,2.200016751885414e-06,3.00002284348011e-07,2.00001522898674e-07
2960,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
2970,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
2980,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
2990,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
3000,1.800013706088066e-06,5.00003807246685e-07,4.00003045797348e-07
3010,2.700020559132099e-06,4.00003045797348e-07,4.00003045797348e-07
3020,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
3030,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
3040,1.400010660290718e-06,3.00002284348011e-07,3.00002284348011e-07
3050,2.500019036233425e-06,3.00002284348011e-07,2.00001522898674e-07
3060,1.8999562598764896e-06,2.00001522898674e-07,3.00002284348011e-07
3070,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
3080,1.0999501682817936e-06,3.00002284348011e-07,2.00001522898674e-07
3090,1.700012944638729e-06,3.00002284348011e-07,2.00001522898674e-07
3100,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
3110,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
3120,1.5999539755284786e-06,3.00002284348011e-07,3.00002284348011e-07
3130,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
3140,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
3150,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
3160,9.999494068324566e-07,2.00001522898674e-07,3.00002284348011e-07
3170,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
3180,2.0999577827751637e-06,3.00002284348011e-07,2.00001522898674e-07
3190,3.0999653972685337e-06,3.00002284348011e-07,2.00001522898674e-07
3200,3.5999692045152187e-06,3.00002284348011e-07,2.00001522898674e-07
3210,2.200016751885414e-06,2.00001522898674e-07,2.00001522898674e-07
3220,1.200009137392044e-06,3.00002284348011e-07,2.00001522898674e-07
3230,1.200009137392044e-06,2.00001522898674e-07,2.00001522898674e-07
3240,9.999494068324566e-07,2.00001522898674e-07,3.00002284348011e-07
3250,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
3260,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
3270,9.999494068324566e-07,3.00002284348011e-07,2.00001522898674e-07
3280,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
3290,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
3300,1.500011421740055e-06,3.00002284348011e-07,3.00002284348011e-07
3310,1.200009137392044e-06,3.00002284348011e-07,2.00001522898674e-07
3320,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
3330,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
3340,1.400010660290718e-06,2.9994407668709755e-07,2.00001522898674e-07
3350,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
3360,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
3370,1.0999501682817936e-06,3.00002284348011e-07,2.00001522898674e-07
3380,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
3390,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
3400,9.999494068324566e-07,3.00002284348011e-07,2.00001522898674e-07
3410,1.0999501682817936e-06,3.00002284348011e-07,3.00002284348011e-07
3420,2.6999623514711857e-06,3.00002284348011e-07,2.00001522898674e-07
3430,1.800013706088066e-06,2.00001522898674e-07,3.00002284348011e-07
3440,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
3450,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
3460,1.300009898841381e-06,2.00001522898674e-07,3.00002284348011e-07
3470,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
3480,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
3490,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
3500,1.0999501682817936e-06,3.00002284348011e-07,2.00001522898674e-07
3510,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
3520,1.9000144675374031e-06,3.00002284348011e-07,2.00001522898674e-07
3530,1.500011421740055e-06,3.00002284348011e-07,3.00002284348011e-07
3540,1.300009898841381e-06,2.00001522898674e-07,3.00002284348011e-07
3550,1.200009137392044e-06,3.00002284348011e-07,3.00002284348011e-07
3560,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
3570,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
3580,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
3590,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
3600,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
3610,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
3620,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
3630,1.300009898841381e-06,2.00001522898674e-07,2.00001522898674e-07
3640,2.300017513334751e-06,3.00002284348011e-07,2.00001522898674e-07
3650,1.0999501682817936e-06,3.00002284348011e-07,3.00002284348011e-07
3660,1.400010660290718e-06,2.9994407668709755e-07,3.00002284348011e-07
3670,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
3680,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
3690,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
3700,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
3710,1.500011421740055e-06,3.00002284348011e-07,2.00001522898674e-07
3720,1.800013706088066e-06,3.00002284348011e-07,2.00001522898674e-07
3730,1.200009137392044e-06,3.00002284348011e-07,2.00001522898674e-07
3740,1.500011421740055e-06,3.00002284348011e-07,2.00001522898674e-07
3750,1.9000144675374031e-06,3.00002284348011e-07,2.00001522898674e-07
3760,1.400010660290718e-06,2.00001522898674e-07,2.00001522898674e-07
3770,1.300009898841381e-06,2.00001522898674e-07,2.00001522898674e-07
3780,1.00000761449337e-06,2.9994407668709755e-07,3.00002284348011e-07
3790,9.999494068324566e-07,3.00002284348011e-07,3.00002284348011e-07
3800,1.00000761449337e-06,2.00001522898674e-07,3.00002284348011e-07
3810,1.300009898841381e-06,4.00003045797348e-07,3.00002284348011e-07
3820,1.400010660290718e-06,3.00002284348011e-07,3.00002284348011e-07
3830,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
3840,1.800013706088066e-06,2.00001522898674e-07,3.00002284348011e-07
3850,4.00003045797348e-06,2.00001522898674e-07,3.00002284348011e-07
3860,2.8999638743698597e-06,3.00002284348011e-07,2.00001522898674e-07
3870,3.00002284348011e-06,3.00002284348011e-07,3.00002284348011e-07
