m,n=100000,n=1000000,n=10000000
1000,6.300047971308231e-06,1.200009137392044e-06,9.00006853044033e-07
2000,6.600050255656242e-06,1.100008375942707e-06,8.00006091594696e-07
3000,8.110003545880318e-05,6.00004568696022e-07,4.00003045797348e-07
4000,3.8000289350748062e-06,5.00003807246685e-07,4.00003045797348e-07
5000,3.200024366378784e-06,5.00003807246685e-07,4.00003045797348e-07
6000,4.200031980872154e-06,4.00003045797348e-07,4.00003045797348e-07
7000,3.200024366378784e-06,5.00003807246685e-07,4.00003045797348e-07
8000,2.100015990436077e-06,5.00003807246685e-07,4.00003045797348e-07
9000,3.0999071896076202e-06,6.00004568696022e-07,4.00003045797348e-07
10000,3.00002284348011e-06,4.00003045797348e-07,4.00003045797348e-07
11000,2.500019036233425e-06,4.00003045797348e-07,4.00003045797348e-07
12000,6.100046448409557e-06,1.700012944638729e-06,4.00003045797348e-07
13000,8.70006624609232e-06,1.200009137392044e-06,4.00003045797348e-07
14000,3.0999071896076202e-06,4.00003045797348e-07,5.00003807246685e-07
15000,2.200016751885414e-06,6.00004568696022e-07,5.00003807246685e-07
16000,3.100023604929447e-06,6.00004568696022e-07,4.00003045797348e-07
17000,4.200031980872154e-06,8.00006091594696e-07,3.00002284348011e-07
18000,2.200016751885414e-06,5.00003807246685e-07,4.00003045797348e-07
19000,2.500019036233425e-06,4.00003045797348e-07,4.00003045797348e-07
20000,3.969995304942131e-05,6.00004568696022e-07,4.00003045797348e-07
21000,2.700020559132099e-06,5.00003807246685e-07,4.00003045797348e-07
22000,3.300025127828121e-06,4.00003045797348e-07,4.00003045797348e-07
23000,2.500019036233425e-06,4.00003045797348e-07,4.00003045797348e-07
24000,4.200031980872154e-06,5.00003807246685e-07,4.00003045797348e-07
25000,3.7999125197529793e-06,4.00003045797348e-07,4.00003045797348e-07
26000,2.800021320581436e-06,5.998881533741951e-07,4.00003045797348e-07
27000,3.100023604929447e-06,4.998873919248581e-07,4.00003045797348e-07
28000,3.600027412176132e-06,5.00003807246685e-07,5.00003807246685e-07
29000,2.900022082030773e-06,5.00003807246685e-07,4.00003045797348e-07
30000,2.800021320581436e-06,4.00003045797348e-07,4.00003045797348e-07
31000,3.3999094739556313e-06,8.00006091594696e-07,4.00003045797348e-07
32000,3.8000289350748062e-06,5.00003807246685e-07,4.00003045797348e-07
33000,4.300032742321491e-06,5.00003807246685e-07,5.00003807246685e-07
34000,3.5999109968543053e-06,6.00004568696022e-07,5.00003807246685e-07
35000,2.500019036233425e-06,5.00003807246685e-07,4.00003045797348e-07
36000,3.100023604929447e-06,5.00003807246685e-07,4.00003045797348e-07
37000,2.400018274784088e-06,7.00005330145359e-06,6.00004568696022e-07
38000,7.109995931386948e-05,1.00000761449337e-06,4.00003045797348e-07
39000,4.900037311017513e-06,4.00003045797348e-07,4.00003045797348e-07
40000,3.100023604929447e-06,3.00002284348011e-07,3.00002284348011e-07
41000,2.500019036233425e-06,3.00002284348011e-07,2.00001522898674e-07
42000,1.5998957678675652e-06,3.00002284348011e-07,2.00001522898674e-07
43000,1.9000144675374031e-06,3.00002284348011e-07,3.00002284348011e-07
44000,2.00001522898674e-06,5.00003807246685e-07,5.00003807246685e-07
45000,3.8000289350748062e-06,6.00004568696022e-07,5.00003807246685e-07
46000,4.499917849898338e-06,5.998881533741951e-07,5.00003807246685e-07
47000,4.799920134246349e-06,7.00005330145359e-07,5.00003807246685e-07
48000,2.200016751885414e-06,5.00003807246685e-07,5.00003807246685e-07
49000,1.500011421740055e-06,1.400010660290718e-06,1.600012183189392e-06
50000,6.800051778554916e-06,1.700012944638729e-06,1.600012183189392e-06
51000,3.3999094739556313e-06,8.00006091594696e-07,5.00003807246685e-07
52000,3.400025889277458e-06,4.00003045797348e-07,3.00002284348011e-07
53000,3.400025889277458e-06,5.00003807246685e-07,5.00003807246685e-07
54000,3.100023604929447e-06,5.00003807246685e-07,5.00003807246685e-07
55000,2.6999041438102722e-06,4.00003045797348e-07,3.00002284348011e-07
56000,2.200016751885414e-06,3.00002284348011e-07,3.00002284348011e-07
57000,2.200016751885414e-06,5.00003807246685e-07,4.00003045797348e-07
58000,2.199900336563587e-06,5.00003807246685e-07,4.00003045797348e-07
59000,1.700012944638729e-06,5.00003807246685e-07,5.00003807246685e-07
60000,3.400025889277458e-06,5.00003807246685e-07,5.00003807246685e-07
61000,2.400018274784088e-06,6.00004568696022e-07,5.00003807246685e-07
62000,2.500019036233425e-06,6.00004568696022e-07,6.00004568696022e-07
63000,2.600019797682762e-06,4.998873919248581e-07,4.00003045797348e-07
64000,3.200024366378784e-06,5.00003807246685e-07,5.00003807246685e-07
65000,3.700028173625469e-06,4.00003045797348e-07,4.00003045797348e-07
66000,2.500019036233425e-06,4.00003045797348e-07,3.00002284348011e-07
67000,2.700020559132099e-06,5.00003807246685e-07,4.00003045797348e-07
68000,2.8999056667089462e-06,5.00003807246685e-07,4.00003045797348e-07
69000,1.600012183189392e-06,6.00004568696022e-07,4.00003045797348e-07
70000,3.8000289350748062e-06,1.200009137392044e-06,5.00003807246685e-07
71000,2.500019036233425e-06,4.00003045797348e-07,3.998866304755211e-07
72000,2.200016751885414e-06,4.00003045797348e-07,2.00001522898674e-07
73000,2.100015990436077e-06,4.998873919248581e-07,4.00003045797348e-07
74000,2.400018274784088e-06,5.00003807246685e-07,5.00003807246685e-07
75000,4.899920895695686e-06,6.00004568696022e-07,9.00006853044033e-07
76000,1.800013706088066e-06,6.00004568696022e-07,5.00003807246685e-07
77000,6.9999368861317635e-06,3.998866304755211e-07,4.00003045797348e-07
78000,1.2999982573091984e-05,1.500011421740055e-06,5.00003807246685e-07
79000,5.900044925510883e-06,6.00004568696022e-07,5.00003807246685e-07
80000,4.00003045797348e-06,4.00003045797348e-07,1.9988510757684708e-07
81000,3.600027412176132e-06,6.00004568696022e-07,4.00003045797348e-07
82000,3.700028173625469e-06,1.200009137392044e-06,3.00002284348011e-07
83000,2.300017513334751e-06,5.00003807246685e-07,1.600012183189392e-06
84000,2.800021320581436e-06,4.00003045797348e-07,2.00001522898674e-07
85000,6.900052540004253e-06,6.00004568696022e-07,3.00002284348011e-07
86000,3.100023604929447e-06,5.00003807246685e-07,4.00003045797348e-07
87000,3.400025889277458e-06,5.00003807246685e-07,4.00003045797348e-07
88000,3.600027412176132e-06,6.00004568696022e-07,6.00004568696022e-07
89000,2.700020559132099e-06,6.00004568696022e-07,5.00003807246685e-07
90000,3.200024366378784e-06,5.00003807246685e-07,4.00003045797348e-07
91000,4.200031980872154e-06,6.00004568696022e-07,4.00003045797348e-07
92000,2.700020559132099e-06,6.00004568696022e-07,5.00003807246685e-07
93000,3.600027412176132e-06,1.300009898841381e-06,3.00002284348011e-07
94000,3.3999094739556313e-06,5.00003807246685e-07,5.00003807246685e-07
95000,3.200024366378784e-06,6.00004568696022e-07,5.00003807246685e-07
96000,3.00002284348011e-06,5.00003807246685e-07,4.00003045797348e-07
97000,3.600027412176132e-06,5.00003807246685e-07,4.00003045797348e-07
98000,2.7999049052596092e-06,4.00003045797348e-07,3.00002284348011e-07
99000,5.500041879713535e-06,9.998911991715431e-07,1.8699909560382366e-05
